sysid,sum_min,num_trip,pct_ttl_num_trips,yroverchange,year,assigned_month
60,0,0,0,0,2019,5
60,5954166.667,338289,0.109135376,,2019,5
60,0,0,0,0,2019,5
60,5954166.667,338289,,,2019,5
60,0,0,0,0,2019,5
60,0,0,0,0,2019,5
60,0,0,0,0,2019,5
60,0,0,0,0,2019,5
60,0,0,0,0,2019,5
58,0,0,0,0,2019,5
58,0,0,0,0,2019,5
58,123802.0333,4987,0.001608856,,2019,5
58,123802.0333,4987,,,2019,5
58,0,0,0,0,2019,5
58,0,0,0,0,2019,5
58,0,0,0,0,2019,5
58,0,0,0,0,2019,5
58,0,0,0,0,2019,5
56,4923365.333,300573,0.096967822,,2019,5
56,0,0,0,0,2019,5
56,0,0,0,0,2019,5
56,0,0,0,0,2019,5
56,4482617.283,275933,,,2019,5
56,0,0,0,0,2019,5
56,0,0,0,0,2019,5
56,0,0,0,0,2019,5
56,440748.05,24640,,,2019,5
54,0,0,0,0,2019,5
54,0,0,0,0,2019,5
54,174569.19,5473,0.001765644,,2019,5
54,0,0,0,0,2019,5
54,0,0,0,0,2019,5
54,152708.19,4731,,,2019,5
54,0,0,0,0,2019,5
54,21861,742,,,2019,5
54,0,0,0,0,2019,5
53,0,0,0,0,2019,5
53,190867,9045,0.002918006,,2019,5
53,0,0,0,0,2019,5
53,0,0,0,0,2019,5
53,0,0,0,0,2019,5
53,0,0,0,0,2019,5
53,0,0,0,0,2019,5
53,190867,9045,,,2019,5
53,0,0,0,0,2019,5
43,1070801,62688,0.020223769,,2019,5
43,0,0,0,0,2019,5
43,0,0,0,0,2019,5
43,0,0,0,0,2019,5
43,0,0,0,0,2019,5
43,1070801,62688,,,2019,5
43,0,0,0,0,2019,5
43,0,0,0,0,2019,5
43,0,0,0,0,2019,5
4,0,0,0,0,2019,5
4,0,0,0,0,2019,5
4,3791543,318064,0.102610591,,2019,5
4,0,0,0,0,2019,5
4,0,0,0,0,2019,5
4,750238.0667,65570,,,2019,5
4,3041304.933,252494,,,2019,5
4,0,0,0,0,2019,5
4,0,0,0,0,2019,5
29,239738,8995,0.002901876,,2019,5
29,0,0,0,0,2019,5
29,0,0,0,0,2019,5
29,239738,8995,,,2019,5
29,0,0,0,0,2019,5
29,0,0,0,0,2019,5
29,0,0,0,0,2019,5
29,0,0,0,0,2019,5
29,0,0,0,0,2019,5
25,0,0,0,0,2019,5
25,775100.5667,35771,0.011540078,,2019,5
25,77879.05,4721,0.379227247,,2019,5
25,0,0,0,0,2019,5
25,0,0,0,0,2019,5
25,0,0,0,0,2019,5
25,0,0,0,0,2019,5
25,0,0,0,0,2019,5
25,0,0,0,0,2019,5
3,0,0,0,0,2019,5
3,25502253.98,1746998,0.563598829,,2019,5
3,0,0,0,0,2019,5
3,0,0,0,0,2019,5
3,0,0,0,0,2019,5
3,6962389.65,514510,,,2019,5
3,0,0,0,0,2019,5
3,18539864.33,1232488,,,2019,5
3,0,0,0,0,2019,5
1,3513117.5,204569,0.065995982,,2019,5
1,0,0,0,0,2019,5
1,0,0,0,0,2019,5
1,0,0,0,0,2019,5
1,0,0,0,0,2019,5
1,1652609.117,101037,,,2019,5
1,1860508.383,103532,,,2019,5
1,0,0,0,0,2019,5
1,0,0,0,0,2019,5
9999,0,0,0,0,2019,6
9999,0,0,0,0,2019,6
9999,380005.2667,36514,0.010168235,,2019,6
74,253368.0333,13934,0.840410133,,2019,6
74,117254.95,6174,0.257582711,,2019,6
74,334531.5,14387,0.004006419,,2019,6
73,3739,209,0.008719596,,2019,6
73,18998,688,0.041495778,,2019,6
73,414875,26943,0.007502951,,2019,6
60,0,0,0,0,2019,6
60,8202849.367,444263,0.123716126,,2019,6
60,0,0,0,0,2019,6
58,120091.15,5033,0.001401565,,2019,6
58,0,0,0,0,2019,6
58,0,0,0,0,2019,6
56,0,0,0,0,2019,6
56,0,0,0,0,2019,6
56,5272944.567,323260,0.090019819,,2019,6
54,0,0,0,0,2019,6
54,0,0,0,0,2019,6
54,178484.96,5650,0.001573384,,2019,6
53,141783,6713,0.001869402,,2019,6
53,0,0,0,0,2019,6
53,0,0,0,0,2019,6
43,0,0,0,0,2019,6
43,0,0,0,0,2019,6
43,1306528,77325,0.021533077,,2019,6
4,47168.73333,3428,0.143018065,,2019,6
4,23923.63333,1958,0.118094089,,2019,6
4,4460284.833,361010,0.100532249,,2019,6
29,203347,8008,0.002230028,,2019,6
29,0,0,0,0,2019,6
29,0,0,0,0,2019,6
25,963622.1833,44747,0.01246092,,2019,6
25,0,0,0,0,2019,6
25,266975.1833,14158,0.590679628,,2019,6
3,29067338.72,1979036,0.551111992,,2019,6
3,0,0,0,0,2019,6
3,0,0,0,0,2019,6
1,0,0,0,0,2019,6
1,0,0,0,0,2019,6
1,4571754.15,258098,0.071873833,,2019,6
9999,0,0,0,0,2019,7
9999,499613.05,49894,0.010899539,,2019,7
9999,0,0,0,0,2019,7
74,457913.6333,19275,0.004210699,,2019,7
74,138187.4833,7582,0.063307839,,2019,7
74,335893.9833,18657,0.24730912,,2019,7
73,4855,240,0.002003941,,2019,7
73,553276,34161,0.007462603,,2019,7
73,29836,931,0.012340933,,2019,7
60,12505080.35,626564,0.136875345,,2019,7
60,0,0,0,0,2019,7
60,0,0,0,0,2019,7
58,131556.95,5463,0.001193414,,2019,7
58,0,0,0,0,2019,7
58,0,0,0,0,2019,7
56,0,0,0,0,2019,7
56,6646831.583,398663,0.087089484,,2019,7
56,0,0,0,0,2019,7
54,313631.95,10084,0.002202889,,2019,7
54,0,0,0,0,2019,7
54,0,0,0,0,2019,7
53,0,0,0,0,2019,7
53,0,0,0,0,2019,7
53,191358,8856,0.001934628,,2019,7
43,1664310,98250,0.021463095,,2019,7
43,0,0,0,0,2019,7
43,0,0,0,0,2019,7
4,5145371.933,417580,0.091221976,,2019,7
4,721258.5667,55852,0.740349947,,2019,7
4,1223368.933,84940,0.709228149,,2019,7
29,0,0,0,0,2019,7
29,0,0,0,0,2019,7
29,346679,13442,0.002936457,,2019,7
25,480852.4,27002,0.225460071,,2019,7
25,0,0,0,0,2019,7
25,1252355.233,55932,0.012218563,,2019,7
3,0,0,0,0,2019,7
3,36095579.57,2484086,0.542658256,,2019,7
3,0,0,0,0,2019,7
1,6364091.883,355375,0.077633052,,2019,7
1,0,0,0,0,2019,7
1,0,0,0,0,2019,7
9999,429873.6833,43424,0.011262354,,2019,8
9999,0,0,0,0,2019,8
9999,0,0,0,0,2019,8
74,248805.1,14406,0.933756806,,2019,8
74,104438.6833,6035,0.246376812,,2019,8
74,333429.1,14490,0.003758095,,2019,8
73,28072,1022,0.066243194,,2019,8
73,482227,30741,0.007972919,,2019,8
73,6429,399,0.016289039,,2019,8
60,9827271.05,516241,0.133891143,,2019,8
60,0,0,0,0,2019,8
60,0,0,0,0,2019,8
58,0,0,0,0,2019,8
58,0,0,0,0,2019,8
58,96515.8,4301,0.001115498,,2019,8
56,0,0,0,0,2019,8
56,0,0,0,0,2019,8
56,5096560.033,319446,0.08285082,,2019,8
54,196623.37,7183,0.001862967,,2019,8
54,0,0,0,0,2019,8
54,0,0,0,0,2019,8
53,0,0,0,0,2019,8
53,99405,5235,0.001357738,,2019,8
53,0,0,0,0,2019,8
43,1460867,86810,0.022514853,,2019,8
43,0,0,0,0,2019,8
43,0,0,0,0,2019,8
4,0,0,0,0,2019,8
4,0,0,0,0,2019,8
4,4726678.167,382250,0.099139529,,2019,8
29,0,0,0,0,2019,8
29,0,0,0,0,2019,8
29,268776,10997,0.002852158,,2019,8
25,913502.2,43858,0.011374915,,2019,8
25,0,0,0,0,2019,8
25,306548.0333,18061,0.73733415,,2019,8
3,0,0,0,0,2019,8
3,30642750.27,2090318,0.54214033,,2019,8
3,0,0,0,0,2019,8
1,0,0,0,0,2019,8
1,5242430.6,300383,0.077906681,,2019,8
1,0,0,0,0,2019,8
9999,548463.5167,56429,0.011440067,,2019,9
9999,0,0,0,0,2019,9
9999,0,0,0,0,2019,9
74,208933.45,13195,0.902098858,,2019,9
74,242740.35,11611,0.002353942,,2019,9
74,95331,5806,0.259962389,,2019,9
73,520878,36140,0.0073268,,2019,9
73,10623,745,0.033357213,,2019,9
73,37338,1432,0.097901142,,2019,9
60,0,0,0,0,2019,9
60,0,0,0,0,2019,9
60,9445695.867,555953,0.112710478,,2019,9
58,88253.93333,4405,0.000893042,,2019,9
58,0,0,0,0,2019,9
58,0,0,0,0,2019,9
56,5466703.133,356986,0.072373137,,2019,9
56,0,0,0,0,2019,9
56,0,0,0,0,2019,9
54,0,0,0,0,2019,9
54,0,0,0,0,2019,9
54,279958.37,10536,0.002136004,,2019,9
53,0,0,0,0,2019,9
53,0,0,0,0,2019,9
53,170875,9812,0.001989224,,2019,9
43,0,0,0,0,2019,9
43,1789264,110949,0.022493115,,2019,9
43,0,0,0,0,2019,9
4,6435881.7,514788,0.10436494,,2019,9
4,0,0,0,0,2019,9
4,0,0,0,0,2019,9
29,0,0,0,0,2019,9
29,0,0,0,0,2019,9
29,298695,14220,0.002882875,,2019,9
25,0,0,0,0,2019,9
25,227383.2,15783,0.706680398,,2019,9
25,704340.9833,40179,0.008145642,,2019,9
3,0,0,0,0,2019,9
3,0,0,0,0,2019,9
3,39974960.7,2795750,0.566793091,,2019,9
1,0,0,0,0,2019,9
1,6502659.067,414818,0.08409764,,2019,9
1,0,0,0,0,2019,9
